Kode Tumpuk :
kode	qty
93598212	2
9077187	2
9077191	2
9103105	2
91154019	2
91154021	2
9124017	2
9144097	2
92404936	2
9876002	2
9314003	2
9077157	2
9372025	2
9416029	2
9416030	2
9443013	2
9461149	2
9461153	2
020701000002	2
9470034	2
9302019	2
9063066	2
030100000011	2
030100000037	2
9019015	2
9021007	2
9036045	2
9036135	2
9036158	2
9037026	2
9077177	2
9037187	2
9077176	2
9063067	2
9077009	2
9077027	2
9077036	2
9077037	2
9077045	2
9077046	2
9077155	2
9470053	2
9037105	2
9712396	2
9641023	2
9665123	2
9469010	2
9675057	2
9678013	2
9681012	2
9712072	2
9601079	2
9712083	2
9665001	2
9712422	2
9712434	2
9712533	2
9712540	2
9750089	2
9750248	2
9797003	2
9712078	2
9506290	2
94931589	2
9493279	2
9665149	2
94931583	2
9579048	2
94931598	2
94931581	2
9493338	2
9506524	2
9537103	2
94931580	2
9545245	2
94931540	2
9561083	2
9561084	2
9712542	3
9715014	3
94931602	3
9037130	3
9493549	3
9302035	3
9695642	3
9695641	3
9130130	3
9493019	3
9712374	3
